200 9950
134 128 16
150 54 5
105 175 70
190 97 49
73 40 49
109 155 28
125 86 86
46 36 33
73 64 61
81 65 98
95 68 48
21 121 95
149 49 72
52 103 26
90 24 79
145 11 83
127 25 15
49 59 11
1 20 18
152 63 48
20 92 65
163 4 34
88 104 54
45 158 83
130 107 50
148 64 8
76 119 63
155 147 84
185 186 70
162 148 30
84 139 64
156 121 89
125 73 61
117 79 35
107 190 19
145 108 13
194 110 56
103 47 46
61 54 10
184 24 66
140 135 48
168 194 48
24 28 81
165 52 33
163 73 34
103 7 19
182 188 26
79 180 27
47 73 35
109 187 92
77 185 60
22 52 17
108 61 62
3 172 43
123 94 89
74 86 47
132 125 35
59 99 76
199 147 52
76 161 53
157 53 37
98 6 42
41 197 75
157 139 39
47 195 100
71 177 8
163 12 95
5 24 77
2 125 18
67 123 17
124 21 35
87 143 67
141 161 16
12 178 81
139 104 89
4 132 18
133 53 56
152 92 57
72 65 16
53 165 90
59 151 9
157 115 37
196 95 12
177 93 32
123 83 25
58 104 55
146 157 81
31 45 16
113 167 23
36 160 58
54 120 57
158 13 52
54 69 27
115 123 86
51 76 34
165 84 97
4 193 5
176 128 51
115 88 39
154 139 72
28 86 94
27 188 19
84 98 6
154 127 82
152 24 93
80 32 9
3 135 7
159 173 59
94 62 55
59 31 35
87 157 10
104 195 92
136 82 56
37 28 41
185 156 10
51 164 17
54 167 70
0 9 75
24 109 89
197 123 67
42 66 22
167 146 46
52 199 55
167 104 49
23 67 10
50 41 12
98 12 23
152 86 17
51 18 4
188 166 29
93 194 4
153 21 64
119 96 46
138 159 93
100 60 70
15 172 94
139 126 46
177 151 72
88 152 13
3 112 66
142 161 81
156 66 13
133 185 28
165 179 63
70 7 98
49 53 66
98 138 32
4 150 77
124 149 3
195 6 76
99 113 99
74 105 92
0 81 27
75 99 91
66 124 72
45 107 64
186 164 69
127 33 20
137 5 31
41 39 1
126 46 30
129 34 60
114 192 50
32 139 88
93 148 60
60 87 35
12 101 28
18 183 3
77 33 33
92 142 2
167 38 23
36 131 11
136 114 42
136 128 76
159 94 5
115 120 58
149 30 90
132 94 31
22 32 37
62 38 45
144 83 57
165 2 70
65 113 25
105 68 26
174 194 50
62 154 80
13 145 42
180 55 29
78 12 3
137 122 42
8 16 52
138 92 9
189 7 56
56 113 99
13 163 77
156 118 68
11 176 38
133 131 77
172 162 7
3 40 41
95 189 79
122 52 23
88 183 13
113 0 31
18 91 98
195 80 3
3 47 36
73 126 69
159 179 1
180 148 32
162 21 86
28 144 34
49 57 33
105 75 68
5 131 22
199 161 69
57 159 66
82 73 31
64 143 52
147 57 76
98 135 43
133 60 60
79 121 51
186 154 30
57 181 3
99 107 29
153 181 100
157 104 31
141 168 67
132 138 8
96 59 30
131 90 7
19 107 76
75 107 72
82 158 33
192 115 8
94 162 4
138 152 62
85 118 6
132 0 18
147 79 89
41 180 9
62 87 57
20 77 97
195 160 25
150 172 23
108 111 100
196 79 10
3 199 25
169 14 14
98 17 46
119 43 95
111 79 68
164 44 31
88 130 38
30 90 2
130 5 37
108 195 51
4 49 12
71 76 38
142 61 91
95 181 46
125 108 55
8 35 17
86 29 22
149 162 50
41 99 35
136 0 69
118 54 70
144 137 86
171 122 39
163 91 92
28 154 65
130 127 95
133 106 88
46 78 90
109 175 42
59 116 38
6 16 74
7 65 53
154 25 72
150 62 70
173 31 84
178 146 1
56 28 85
123 49 46
149 196 69
2 44 24
22 83 19
164 2 4
154 55 52
49 95 61
70 45 60
173 65 17
168 41 55
134 191 11
51 159 23
161 134 2
87 14 83
43 160 24
89 9 46
76 198 38
72 54 72
104 64 19
24 24 20
109 181 17
170 96 16
194 63 75
48 132 4
118 46 88
120 64 12
145 105 70
47 15 27
166 92 43
39 155 48
42 107 72
8 98 71
107 149 81
8 140 99
184 145 89
56 36 97
162 144 2
141 80 79
98 18 73
10 153 48
112 34 55
71 153 42
195 1 19
118 44 76
21 105 2
118 171 45
131 34 35
143 106 69
100 5 89
192 143 11
178 7 61
71 182 79
112 7 10
152 89 72
131 152 84
83 56 95
121 154 6
5 65 44
100 80 93
46 166 72
146 47 76
189 148 69
8 54 4
73 4 35
62 16 37
60 64 80
75 54 13
54 36 53
184 168 64
151 4 15
20 178 79
20 123 8
4 182 43
141 196 88
83 192 62
83 47 31
21 62 9
22 9 19
150 193 60
85 31 1
13 95 73
97 48 67
34 90 74
169 173 10
46 122 63
14 188 72
93 173 67
69 62 30
173 97 91
65 160 51
43 148 85
2 118 88
23 146 58
53 192 51
175 106 8
60 28 8
9 49 87
95 154 3
162 199 93
129 70 98
89 12 33
33 70 45
17 88 12
35 137 49
2 11 12
133 93 46
147 105 19
72 58 95
20 172 72
135 134 36
161 27 21
173 64 77
193 1 37
97 45 3
163 68 78
26 193 38
118 47 2
20 42 62
91 188 79
125 127 81
49 41 47
54 165 68
53 25 66
12 171 2
78 59 92
111 48 83
113 131 29
105 19 74
4 171 33
100 120 6
57 82 77
194 103 26
90 136 45
130 20 77
82 46 38
5 41 13
78 37 2
166 72 91
83 17 27
135 10 98
68 194 72
77 72 89
133 109 54
3 174 93
11 146 73
81 198 49
52 60 49
151 18 27
68 130 94
85 172 25
27 175 83
117 107 92
64 132 92
118 40 42
156 158 61
89 138 81
147 71 34
63 130 72
121 24 83
192 122 2
101 180 1
53 124 94
155 29 76
89 144 37
38 113 84
82 128 22
120 111 27
165 17 97
91 178 100
9 188 42
169 87 55
61 169 96
193 59 83
177 22 72
173 59 79
162 186 70
105 14 30
57 64 3
101 198 80
104 145 21
91 167 60
159 184 13
22 58 56
118 170 6
21 189 71
180 71 6
166 198 70
107 196 89
113 34 44
123 190 43
180 103 78
194 194 73
106 77 50
165 135 71
122 120 93
95 0 57
185 96 32
19 3 38
56 169 42
164 37 67
36 2 86
34 176 75
154 37 86
66 118 16
44 60 85
42 91 15
153 91 24
87 74 34
48 105 58
120 78 60
145 15 4
129 71 42
179 76 49
110 58 32
121 177 52
178 6 44
199 180 28
116 81 10
90 13 89
121 44 31
72 176 17
189 124 75
108 149 60
176 88 55
23 94 30
176 163 1
84 43 41
168 73 87
85 56 91
60 147 46
114 147 70
109 68 48
79 40 11
145 3 22
64 193 94
194 31 69
24 8 39
189 64 67
27 70 41
113 8 17
98 149 69
9 129 42
165 122 81
178 72 68
11 21 75
42 108 55
155 170 33
182 100 51
66 70 48
43 11 16
167 15 26
14 122 19
21 169 78
177 172 68
29 85 74
67 47 32
21 36 70
34 168 98
12 68 85
142 43 10
168 115 21
174 118 15
11 141 62
132 17 83
150 106 23
25 169 78
95 17 30
82 51 34
51 101 42
8 30 54
117 48 75
83 168 24
46 115 90
57 146 91
13 83 54
107 85 59
171 199 86
143 97 65
128 0 63
58 130 25
156 88 63
17 6 81
132 148 45
138 71 3
69 20 52
96 10 64
27 162 16
110 62 4
57 89 30
85 116 86
99 1 2
183 86 1
197 121 3
20 15 32
30 111 61
100 139 27
33 169 51
115 39 8
30 195 94
126 105 8
85 15 90
63 0 68
14 45 26
47 128 68
127 69 63
79 85 76
172 49 86
167 195 83
108 88 83
184 23 36
173 5 55
34 89 94
27 108 92
48 199 22
160 154 80
6 42 55
176 95 61
67 21 97
38 122 88
185 145 57
113 175 46
130 6 18
39 47 26
148 134 10
106 132 36
160 169 100
62 35 12
179 13 79
117 177 75
2 71 70
83 124 24
188 154 84
2 86 72
53 138 22
67 37 30
42 125 80
177 49 80
68 183 62
42 98 73
102 49 53
125 69 11
85 148 55
11 169 100
125 45 59
72 172 18
102 23 81
193 72 39
131 77 31
9 14 26
125 151 67
139 121 98
175 28 39
49 67 87
64 17 36
197 164 86
79 75 49
45 40 79
120 162 40
142 29 84
177 188 69
33 110 96
71 35 45
162 57 45
83 134 14
2 58 62
106 148 13
68 17 12
70 102 33
159 105 35
89 180 57
61 139 95
3 38 88
96 195 39
102 186 30
89 78 62
156 71 59
23 66 67
111 105 32
97 122 1
48 48 44
119 86 31
129 22 81
158 46 87
107 23 83
39 192 13
11 56 15
155 162 24
64 64 85
57 20 86
60 2 48
83 54 33
26 147 100
173 104 58
72 180 25
67 43 96
91 51 29
138 58 83
10 131 87
23 128 36
158 30 53
32 26 18
89 198 100
146 109 76
77 160 50
81 67 38
187 55 36
116 66 79
188 40 92
13 173 2
21 187 45
36 167 100
80 172 28
192 36 48
4 118 40
106 59 90
95 93 21
189 74 64
165 178 66
29 5 77
182 86 35
197 75 1
22 33 58
101 22 49
50 23 77
93 146 88
8 77 60
56 79 1
108 164 20
145 165 55
69 134 15
36 111 59
100 58 75
1 69 17
153 62 77
14 55 18
133 188 9
173 165 9
176 42 87
170 107 37
20 197 60
79 132 95
122 7 6
84 38 41
29 139 9
182 96 2
175 131 23
43 111 81
125 0 96
30 2 67
24 189 7
111 72 72
46 73 66
98 186 24
55 153 22
196 108 64
10 147 62
15 101 66
145 14 81
88 134 70
78 38 49
136 95 36
49 124 29
26 196 1
129 1 49
126 33 34
51 149 43
109 152 45
68 16 76
137 162 45
33 9 67
53 171 95
39 139 47
26 108 71
132 115 72
53 28 13
80 39 12
51 186 46
33 92 37
115 3 72
133 146 7
95 30 54
103 163 14
194 173 34
116 195 28
191 184 45
126 88 75
67 89 57
40 119 87
50 40 11
6 66 88
178 108 82
68 14 10
180 100 96
1 197 15
40 24 60
102 56 100
45 161 65
119 197 74
36 114 24
3 168 48
105 193 67
116 183 70
67 131 21
168 95 20
173 84 29
119 170 75
160 152 65
84 122 26
167 98 29
175 167 67
151 162 88
76 134 83
172 108 10
128 139 99
164 162 82
29 27 47
191 73 39
8 87 72
130 62 60
50 82 70
49 23 38
12 28 38
63 128 14
159 75 7
57 143 85
95 110 60
110 143 80
34 191 85
161 11 40
177 105 93
24 123 77
122 76 97
6 90 11
148 166 91
146 150 92
34 8 79
150 149 29
35 74 76
166 49 3
195 170 65
171 163 1
149 195 6
93 127 52
119 143 8
8 150 22
45 153 34
29 149 53
169 60 46
135 15 12
131 123 73
187 12 93
136 136 36
100 71 73
101 1 89
122 115 69
58 7 90
33 84 29
110 34 65
48 78 100
96 125 17
114 71 59
118 12 79
72 89 67
36 32 66
57 76 82
31 94 64
141 97 22
87 95 9
174 91 16
65 144 67
4 166 22
164 28 22
14 123 89
90 160 17
191 46 75
75 118 72
92 27 97
14 139 40
184 187 35
117 141 37
123 145 72
116 103 20
36 177 5
27 11 29
81 58 2
152 91 30
31 138 22
50 179 75
94 121 90
193 86 57
51 90 31
126 147 49
91 38 71
28 64 37
124 105 93
88 128 35
158 77 42
126 109 11
152 178 40
129 68 69
9 70 30
117 36 56
73 198 96
173 40 94
176 71 27
191 47 46
164 136 46
71 64 78
199 105 15
118 89 51
28 30 31
49 134 98
110 196 37
193 11 89
102 174 61
125 107 3
41 143 72
133 117 14
171 31 54
10 41 71
49 193 55
21 68 90
102 122 86
115 91 62
172 66 96
111 12 57
98 146 99
175 102 75
39 142 72
0 183 94
168 70 59
104 14 66
136 35 50
107 93 11
74 8 47
12 35 99
74 30 25
104 148 47
96 146 69
43 5 86
137 42 93
154 164 31
183 113 64
65 85 71
53 66 9
106 71 54
84 25 65
112 119 89
188 171 67
0 17 80
199 111 30
199 16 28
47 160 96
29 96 6
105 36 2
118 122 66
130 113 58
154 84 31
94 148 41
165 107 77
67 107 26
56 77 49
103 176 3
109 137 86
62 7 6
63 68 12
189 181 17
102 157 25
16 192 6
140 84 20
11 138 32
58 42 58
46 148 92
54 148 47
4 98 57
93 197 74
180 195 68
159 31 40
95 148 76
50 62 39
71 50 22
170 78 59
109 55 80
115 150 37
99 194 31
181 19 22
144 110 4
29 194 81
180 5 5
171 170 53
156 146 46
138 72 8
181 28 17
181 167 91
3 75 42
184 98 37
66 145 9
162 192 62
89 79 72
26 58 15
159 137 99
111 138 57
75 48 58
0 18 63
179 67 98
170 1 20
173 57 68
7 41 91
99 19 69
169 165 26
105 158 49
87 35 97
81 84 96
40 77 95
144 88 17
144 47 56
52 166 68
129 124 19
54 131 26
127 15 89
91 114 64
14 17 61
51 191 4
152 101 5
105 188 19
99 6 34
88 188 44
53 95 8
19 28 87
75 6 90
29 18 56
33 90 30
27 31 91
141 41 10
173 101 44
127 179 42
48 10 95
35 50 16
187 173 64
182 124 81
26 95 58
158 197 35
33 180 61
142 35 43
79 175 38
42 134 32
5 74 90
176 180 45
1 17 99
8 199 12
114 162 83
144 75 30
187 192 25
197 99 12
129 111 73
152 124 5
68 92 69
154 182 38
137 196 6
99 115 68
130 146 70
1 138 78
109 183 18
98 83 92
109 77 1
4 58 8
171 94 29
16 181 6
33 136 80
0 69 93
144 134 89
121 42 97
44 64 23
76 5 97
95 144 100
90 165 83
189 90 47
128 122 7
12 7 70
44 32 21
193 23 50
44 23 25
172 140 36
2 8 99
79 193 21
186 92 18
112 167 50
118 95 87
118 155 35
69 118 56
13 137 92
148 171 75
80 92 66
35 115 60
199 63 15
1 53 96
197 170 22
117 112 30
76 199 32
194 109 93
185 67 50
124 24 43
56 6 25
16 111 55
105 7 44
155 92 30
109 29 75
69 61 83
94 3 86
7 79 20
89 123 76
115 145 63
194 9 34
33 47 35
57 21 83
159 134 90
94 71 11
91 122 58
145 68 72
59 171 22
113 27 64
163 151 20
9 112 6
169 132 55
2 176 62
12 55 65
50 143 52
31 164 96
90 164 27
176 151 65
155 124 66
163 10 34
185 79 82
58 171 14
23 114 41
11 109 67
129 193 27
152 42 80
2 109 47
158 38 95
108 117 25
62 151 5
191 174 57
143 139 23
189 80 90
66 30 23
117 186 2
24 187 7
25 186 55
62 9 47
167 143 84
108 5 3
198 6 88
72 62 78
94 6 62
98 150 81
4 143 58
73 72 27
178 157 53
29 19 56
134 127 84
142 131 97
90 74 86
28 50 8
115 130 45
17 189 32
51 155 37
131 55 51
99 120 25
198 122 42
87 52 15
142 21 57
111 95 19
120 60 79
19 109 74
176 55 78
22 68 14
85 125 92
8 121 3
3 7 12
144 164 34
59 58 95
83 34 58
190 53 15
15 122 42
138 165 18
156 171 28
162 45 67
21 144 74
103 156 55
34 87 27
152 5 1
26 198 85
173 128 5
158 72 3
10 55 62
127 163 41
85 64 57
13 195 69
172 46 62
74 88 77
168 105 55
128 143 15
77 127 32
7 19 90
32 27 80
11 198 81
102 38 72
69 111 68
103 174 82
64 142 10
4 191 41
80 113 41
151 93 37
113 133 30
115 27 77
151 197 48
92 175 41
52 171 3
77 68 2
125 83 68
180 136 38
123 108 89
93 24 65
28 136 94
80 122 49
92 18 17
174 119 48
22 118 45
91 131 63
111 24 48
149 169 24
21 59 31
110 126 35
131 112 51
66 8 89
149 103 67
89 26 76
99 134 49
116 2 98
168 124 68
187 28 49
170 51 29
104 95 49
157 94 34
171 57 91
134 133 78
119 185 34
107 162 17
66 29 78
90 184 39
84 54 47
192 90 77
147 186 49
79 171 82
75 135 71
128 17 41
15 144 19
12 79 26
52 52 62
195 77 4
171 125 53
193 118 51
78 74 53
81 23 35
145 199 45
57 74 70
115 38 52
40 67 43
66 125 93
0 143 10
102 155 32
129 26 96
52 144 58
123 42 46
85 169 65
128 86 11
173 6 95
139 168 93
70 121 23
39 173 23
177 154 92
113 105 26
103 31 99
139 96 1
5 153 71
178 175 55
146 31 19
56 33 46
199 165 50
29 199 4
97 39 83
163 11 21
168 160 94
185 155 70
39 94 8
6 145 28
100 46 69
142 97 5
39 186 50
156 50 83
98 123 17
125 133 35
157 150 82
119 35 75
40 100 82
125 77 19
96 84 55
132 128 27
164 194 100
118 128 94
1 83 74
186 12 72
113 120 62
152 11 56
93 178 84
167 197 51
4 104 37
185 66 14
180 154 50
27 126 11
153 189 75
97 8 35
37 44 99
96 80 34
44 126 96
18 38 46
185 179 30
143 193 58
19 53 58
128 22 76
179 150 83
108 13 64
178 180 67
198 38 49
0 24 96
130 44 29
64 8 46
86 132 54
75 88 62
64 141 88
96 74 41
102 166 84
76 10 90
142 3 62
176 145 89
45 48 46
120 52 12
174 55 52
39 8 49
48 113 18
3 42 56
11 144 39
87 199 82
43 137 65
101 128 61
77 178 71
105 142 93
5 109 49
86 112 41
144 117 94
171 153 68
191 77 26
89 5 46
92 32 57
168 119 7
73 112 2
94 59 3
58 182 76
122 180 22
25 32 69
70 142 95
112 139 27
196 66 47
13 66 80
74 109 8
82 52 46
53 162 28
35 179 16
185 83 79
8 173 82
40 154 82
20 195 94
105 49 39
8 17 100
184 165 33
167 31 15
60 97 64
66 11 24
82 33 17
105 2 28
124 185 60
144 195 25
122 174 47
70 106 67
180 131 61
73 68 26
172 133 54
14 90 70
196 23 25
142 58 93
147 40 91
197 88 33
32 196 31
146 103 36
154 78 20
193 182 28
138 155 34
58 27 5
2 126 91
43 80 32
183 94 57
123 136 41
6 61 91
58 84 37
17 124 44
40 52 64
105 80 64
106 188 65
188 132 25
175 14 97
81 36 41
154 19 15
17 53 7
7 87 69
28 159 74
50 113 41
144 129 23
163 114 19
95 44 10
197 30 80
73 177 8
72 81 77
147 25 16
149 179 23
136 144 38
197 76 45
74 159 5
148 38 90
5 6 25
95 179 62
183 73 93
16 97 81
48 142 94
165 5 25
142 111 87
1 116 20
149 170 6
65 43 77
159 86 5
49 61 59
120 24 31
0 148 58
141 90 90
123 43 24
154 149 16
146 4 88
163 156 67
9 45 68
101 119 42
151 141 40
93 134 2
84 177 91
104 159 82
42 153 61
189 192 31
144 153 15
180 125 63
47 185 46
83 167 76
174 28 15
170 168 53
115 135 65
89 96 51
107 108 7
108 147 39
8 3 3
131 115 98
53 173 65
136 36 64
198 162 34
154 96 40
97 115 64
7 180 80
100 197 44
4 30 28
174 80 95
72 35 33
190 93 5
156 179 29
37 68 43
192 99 72
118 139 97
151 100 65
87 100 54
8 1 81
162 48 16
127 3 34
163 104 97
3 22 30
57 105 31
48 11 28
54 81 23
37 39 84
32 96 66
88 120 29
134 109 79
107 16 53
159 155 58
3 100 44
146 184 99
107 173 86
131 174 35
25 150 71
89 58 4
197 74 61
70 77 32
121 128 82
18 101 68
173 27 5
178 196 40
198 172 10
185 139 16
168 152 82
81 83 53
38 173 68
19 101 52
73 173 20
100 34 63
157 123 41
1 36 81
170 28 60
46 37 8
150 180 89
42 73 86
135 110 48
30 194 38
121 75 65
66 141 57
130 96 97
68 30 51
63 173 54
97 36 30
92 188 47
173 106 67
74 42 94
4 85 45
113 75 64
8 40 67
110 199 29
44 109 68
121 6 80
172 101 96
20 19 41
6 82 91
14 155 45
13 23 59
34 180 56
34 81 13
112 0 56
191 27 100
26 171 20
197 98 74
76 114 2
55 16 36
146 143 61
198 146 67
12 31 53
79 42 87
93 162 36
126 64 14
169 105 91
62 125 6
189 18 44
171 30 60
172 141 62
32 54 13
122 13 3
198 67 20
182 16 35
168 16 45
184 0 29
43 16 75
54 181 77
1 121 19
93 16 57
156 77 39
178 26 25
145 191 73
107 180 4
123 181 47
16 169 55
95 135 100
120 94 6
153 120 62
14 167 38
43 145 32
80 62 82
21 32 7
186 178 75
23 195 39
114 89 94
50 105 54
93 113 65
160 172 11
191 187 4
34 34 25
182 112 81
25 137 13
7 162 96
197 8 97
66 7 60
90 15 83
60 159 93
194 25 38
29 95 82
162 156 45
84 117 89
3 89 77
63 8 100
31 72 87
171 139 83
174 7 100
24 125 6
97 189 67
67 93 61
162 171 76
15 110 47
93 4 91
5 91 26
186 13 68
126 167 22
108 18 58
142 62 15
81 49 62
198 151 1
117 162 98
14 140 2
32 152 59
44 79 78
197 33 29
197 149 67
42 90 66
108 95 30
24 188 68
24 9 2
180 86 52
62 90 72
138 97 46
123 124 68
20 174 60
199 169 88
117 67 82
98 37 31
174 87 42
120 89 36
76 184 90
147 134 90
33 41 12
30 70 68
183 76 19
76 39 48
130 178 80
7 160 62
140 3 60
151 178 42
157 177 74
19 106 44
188 26 30
109 73 87
121 183 34
0 197 95
12 15 98
56 162 54
162 184 63
73 101 7
191 53 13
112 122 37
92 3 22
79 1 92
164 46 51
98 94 80
53 40 18
69 158 32
160 87 2
135 7 73
191 169 81
73 176 64
103 51 34
157 81 85
70 163 72
71 14 78
146 102 55
17 19 64
160 24 46
135 116 98
110 177 18
73 44 83
44 26 83
16 94 82
44 192 4
92 119 64
19 50 34
30 123 29
67 145 55
111 188 78
139 21 85
173 138 2
28 105 97
79 161 78
47 166 81
164 25 43
103 42 25
37 95 83
158 0 72
65 179 77
175 107 30
24 103 49
98 70 59
13 157 92
18 42 100
69 139 95
111 6 19
18 136 79
175 98 93
174 35 68
17 61 78
17 166 87
9 51 80
121 178 87
93 9 42
8 76 41
158 79 82
51 134 8
52 161 43
146 158 4
176 102 94
141 50 65
191 62 23
54 27 43
70 15 46
188 90 78
139 107 89
184 18 54
105 190 56
3 60 57
132 6 66
135 21 31
34 132 49
1 31 58
167 53 94
38 125 89
108 16 89
51 65 35
132 30 48
29 9 6
125 166 36
126 141 64
12 88 63
133 12 69
109 54 43
69 9 18
197 65 28
181 118 26
3 108 97
156 70 95
100 82 65
52 126 47
112 107 46
187 156 72
45 151 88
37 86 28
46 52 62
113 35 81
163 121 12
169 151 60
159 98 74
144 29 79
146 162 77
151 152 83
143 187 14
58 156 33
7 184 89
26 177 48
66 177 54
185 35 17
122 124 29
183 92 76
7 118 25
42 165 62
185 114 16
12 159 7
172 131 71
14 20 85
109 93 13
139 22 83
96 192 19
126 166 63
148 124 43
115 21 2
38 149 43
51 119 35
25 191 65
43 100 44
104 107 9
117 96 92
193 106 78
9 87 68
50 175 91
77 168 75
102 199 3
19 137 17
105 130 44
76 24 85
139 177 19
84 6 47
142 15 22
148 149 56
107 20 25
21 119 81
107 34 59
25 136 36
25 24 62
189 48 73
76 66 87
117 66 3
170 150 38
9 82 10
49 69 77
99 118 15
92 169 2
3 86 42
169 164 100
146 70 86
110 103 96
74 187 57
193 137 22
15 153 58
76 23 55
87 81 98
45 67 100
129 159 8
129 142 86
93 54 9
128 177 31
7 10 35
12 152 37
153 1 59
183 2 91
33 107 78
58 16 65
189 155 79
6 150 68
74 142 29
110 148 28
154 120 14
40 36 92
35 67 45
134 94 83
57 104 63
122 70 49
163 120 70
135 108 50
116 148 84
90 8 46
105 24 21
168 131 98
161 6 90
29 87 46
172 94 95
137 133 68
51 56 11
4 21 46
145 27 22
168 196 51
53 85 1
102 74 58
107 184 43
182 51 43
62 135 18
102 159 86
139 59 32
102 86 75
93 188 55
46 136 77
56 159 18
185 12 12
19 123 38
105 25 46
84 169 10
94 85 100
175 4 55
140 39 22
117 167 30
161 68 94
144 71 73
183 54 100
66 131 78
76 31 77
70 116 12
83 35 72
40 38 56
69 28 4
96 98 2
18 194 51
52 17 29
40 9 38
98 168 56
132 131 76
84 191 12
147 3 58
149 16 20
87 158 33
97 32 44
123 51 15
139 161 92
0 114 39
16 161 48
143 101 34
41 177 51
9 158 58
157 72 72
98 142 77
147 83 63
25 135 26
86 168 75
183 106 46
194 8 42
97 185 86
83 36 17
71 70 20
112 102 95
9 118 71
83 6 64
140 64 11
117 169 81
10 85 64
9 189 32
25 189 37
92 134 30
117 50 11
140 18 19
48 35 89
42 150 2
190 92 60
109 132 57
54 137 30
25 44 4
153 130 78
67 67 90
180 50 91
117 58 32
175 196 34
135 121 3
184 183 8
98 143 42
187 119 5
150 44 95
75 134 96
95 40 12
132 44 49
98 15 24
146 180 94
30 35 84
41 193 25
175 85 51
179 147 29
55 81 97
172 134 80
52 101 85
80 67 58
53 128 9
95 65 33
128 115 47
162 38 60
40 74 29
0 79 19
41 42 76
114 33 76
23 72 52
171 48 50
136 64 38
136 81 53
109 166 3
133 13 86
87 51 64
112 134 55
78 139 33
50 198 68
182 127 49
121 55 60
89 143 73
169 192 1
187 76 55
152 159 78
160 197 55
146 138 35
49 113 33
197 195 92
45 39 28
165 62 55
154 136 5
176 159 34
154 16 72
113 193 39
112 172 25
180 194 70
15 184 28
94 194 79
59 120 7
160 162 1
133 178 35
147 95 2
64 5 100
35 105 86
6 168 38
125 30 59
50 4 73
2 199 39
185 116 90
81 169 93
4 155 94
17 70 58
143 49 17
169 37 64
60 51 39
113 96 31
180 127 44
69 33 91
40 156 41
143 42 7
74 161 23
64 19 45
114 198 15
130 135 10
148 163 53
6 189 39
99 82 24
46 165 26
30 181 47
184 77 91
162 116 8
88 187 40
46 162 89
110 176 78
21 43 28
34 55 70
31 81 99
117 116 38
125 20 70
85 27 27
38 130 39
93 192 72
50 11 90
150 122 3
52 73 48
17 138 15
191 80 87
58 189 76
74 191 83
186 198 96
102 145 1
189 171 80
103 127 71
118 151 53
66 160 73
13 171 100
127 28 22
16 121 70
67 172 25
85 35 80
5 116 79
14 183 69
91 112 70
91 156 88
69 63 80
86 32 29
116 198 35
153 2 85
38 36 100
144 141 68
10 35 55
6 29 99
108 114 19
40 65 53
195 94 42
32 106 93
59 34 2
67 59 13
130 187 10
42 167 42
15 199 55
42 154 98
117 37 17
137 6 42
165 29 20
84 128 56
46 15 35
9 90 76
175 61 55
76 64 5
44 145 91
68 75 97
101 34 17
27 104 68
37 55 12
196 67 32
9 155 97
109 169 39
67 61 79
32 103 7
38 76 59
146 62 70
157 66 22
63 20 9
52 172 24
191 159 28
73 165 84
118 52 40
128 25 55
187 129 78
21 49 89
191 35 87
16 48 22
172 97 10
130 8 82
193 83 42
161 60 5
183 105 81
94 12 4
62 196 79
167 93 92
96 96 66
123 12 53
8 82 83
92 149 36
128 19 81
74 68 2
119 196 41
28 44 61
3 188 54
63 55 21
24 39 83
118 17 25
57 81 19
35 196 84
16 18 92
138 28 70
32 158 81
101 160 35
195 194 76
71 145 17
128 162 71
189 87 91
32 119 93
134 187 13
38 9 100
33 86 87
8 102 47
183 23 44
135 9 19
43 38 10
79 96 35
164 69 50
30 107 4
19 0 98
9 186 18
117 91 58
35 150 64
199 104 99
184 34 61
100 77 37
54 132 80
147 109 84
89 8 52
139 153 76
63 125 67
37 34 11
196 143 26
181 140 33
21 81 41
117 192 77
53 194 7
12 64 21
54 4 56
146 136 18
147 68 53
49 182 38
75 35 95
110 47 23
68 190 94
85 127 59
28 156 59
144 150 78
54 58 30
27 171 42
195 165 94
181 61 46
11 38 58
83 183 71
105 141 30
56 71 25
161 41 34
171 101 83
76 135 39
109 21 2
192 145 2
180 61 28
46 128 44
193 48 81
194 83 75
130 193 15
129 129 66
44 67 84
79 72 41
100 188 85
15 50 73
17 12 53
160 51 25
13 98 1
26 46 56
5 34 46
172 184 89
198 4 56
102 65 2
102 9 2
157 131 41
110 179 18
185 157 20
53 130 52
67 52 35
181 183 98
28 160 56
89 171 54
65 143 79
137 145 18
60 199 35
166 36 39
193 39 92
153 165 44
199 23 42
158 120 37
67 102 39
88 159 51
166 90 6
50 34 19
111 198 85
4 181 39
187 37 69
192 37 6
33 149 92
179 84 61
188 127 16
109 64 77
76 14 10
184 134 49
47 109 72
140 197 44
21 6 6
146 149 63
61 14 45
76 181 77
125 32 47
106 14 8
198 196 77
190 15 88
109 129 49
40 96 22
110 13 81
31 5 45
34 38 34
81 37 91
102 4 24
76 2 11
94 168 25
113 112 57
32 72 55
99 66 18
117 30 81
86 101 69
18 193 39
10 4 56
77 107 61
56 112 48
141 119 1
55 27 96
179 133 38
168 120 54
97 131 2
74 190 1
122 138 27
140 48 86
47 154 98
124 107 43
71 117 10
151 22 19
193 127 52
134 176 12
47 140 63
122 183 31
33 173 39
151 61 77
16 136 36
177 78 53
52 141 83
97 85 76
16 12 3
124 145 74
123 76 29
23 6 15
161 102 87
135 99 40
21 171 38
113 32 2
61 156 89
80 139 93
193 155 67
127 43 72
154 20 65
17 146 65
139 167 30
98 100 56
164 39 25
98 53 26
67 72 28
50 106 50
120 98 39
18 78 94
128 8 14
95 125 95
121 123 42
195 71 27
17 30 36
81 7 96
13 111 10
190 56 71
123 68 50
20 90 25
138 138 45
194 149 70
54 98 16
107 60 97
92 195 70
83 132 43
95 164 63
63 34 36
17 43 5
